,Unnamed: 0,ticker,option_symbol,expiry,strike,type,is_itm,entry_range,ask,model_prob,tp_target,sl_target,impliedVolatility,kelly_fraction,expected_profit,run_timestamp,iv,volatility_regime
477,477,SPY,SPY260130P00687000,2026-01-30,687.0,put,False,$4.46 - $4.49,4.49,0.675,627.5669419401776,2.587563908282986,0.1263820272827148,0.0390051424599565,0.1170059843802299,2026-01-18 23:16:55.682196,,
478,478,SPY,SPY260130P00688000,2026-01-30,688.0,put,False,$4.74 - $4.77,4.77,0.68,628.6064950777478,2.8731916189050946,0.1239101281738281,0.0703782588730094,0.2338774801862804,2026-01-18 23:16:55.682196,,
479,479,SPY,SPY260130P00689000,2026-01-30,689.0,put,False,$5.05 - $5.08,5.08,0.69,629.6479013990603,3.1936097383019377,0.1216518499755859,0.1205072058087753,0.4373960856309809,2026-01-18 23:16:55.682196,,
480,480,SPY,SPY260130P00690000,2026-01-30,690.0,put,False,$5.38 - $5.40,5.4,0.7,630.6904230249579,3.53687727557778,0.1191189163208007,0.1428869992092503,0.5694169967557026,2026-01-18 23:16:55.682196,,
481,481,SPY,SPY260130P00691000,2026-01-30,691.0,put,False,$5.72 - $5.76,5.76,0.705,631.7350002929281,3.925194628414733,0.116921672668457,0.1591033348849475,0.6913028509993131,2026-01-18 23:16:55.682196,,
482,482,SPY,SPY260130P00692000,2026-01-30,692.0,put,True,$6.10 - $6.13,6.13,0.72,632.7806724871788,4.339469422699814,0.1144192562866211,0.1993001065544318,0.9318609668253818,2026-01-18 23:16:55.682196,,
483,483,SPY,SPY260130P00693000,2026-01-30,693.0,put,True,$6.49 - $6.53,6.53,0.725,633.8279997958397,4.793772101926829,0.1119778744506835,0.2105527343861881,1.063487682492064,2026-01-18 23:16:55.682196,,
484,484,SPY,SPY260130P00694000,2026-01-30,694.0,put,True,$6.92 - $6.96,6.96,0.73,634.8769402533919,5.288741366565352,0.1095670098876953,0.2447186364779891,1.3133758807852924,2026-01-18 23:16:55.682196,,
485,485,SPY,SPY260130P00695000,2026-01-30,695.0,put,True,$7.33 - $7.46,7.46,0.74,635.928587904785,5.848734443662536,0.1079495944213867,0.2464217089848418,1.404186114977119,2026-01-18 23:16:55.682196,,
486,486,SPY,SPY260130P00696000,2026-01-30,696.0,put,True,$7.78 - $7.98,7.98,0.755,636.9814826762608,6.4418333895462485,0.1061185580444336,0.2472852010276029,1.4895999223967986,2026-01-18 23:16:55.682196,,
487,487,SPY,SPY260130P00697000,2026-01-30,697.0,put,True,$8.29 - $8.51,8.51,0.76,638.0353378932416,7.063054227119426,0.1038602798461914,0.2482412329417878,1.5764916954501562,2026-01-18 23:16:55.682196,,
488,488,SPY,SPY260130P00698000,2026-01-30,698.0,put,True,$8.85 - $9.07,9.07,0.77,639.090645492066,7.722691834369976,0.1015104498291015,0.2473936041731838,1.6476102487005977,2026-01-18 23:16:55.682196,,
489,489,SPY,SPY260130P00699000,2026-01-30,699.0,put,True,$9.46 - $9.66,9.66,0.775,640.1474158284036,8.420375910817741,0.099069067993164,0.2449167962732147,1.7018052434214397,2026-01-18 23:16:55.682196,,
490,490,SPY,SPY260130P00700000,2026-01-30,700.0,put,True,$10.05 - $10.27,10.27,0.78,641.205298267058,9.149965488931338,0.0962614788818359,0.2415799516306946,1.7454258005516194,2026-01-18 23:16:55.682196,,
491,491,SPY,SPY260130P00701000,2026-01-30,701.0,put,True,$10.66 - $10.96,10.96,0.785,642.266133425507,9.934831436153218,0.0944914770507812,0.233322124010321,1.7316773108576229,2026-01-18 23:16:55.682196,,
492,492,SPY,SPY260130P00705000,2026-01-30,705.0,put,True,$13.67 - $13.97,13.97,0.82,646.5217538478381,13.317955062177589,0.0846649151611328,0.1917374516168677,1.527712151077906,2026-01-18 23:16:55.682196,,
